q_id    iter    docno    rank    sim    run_id
3       0       Document 4367    0    3.9906187    Lucene
3       0       Document 4362    0    3.9872742    Lucene
3       0       Document 4372    0    3.9786508    Lucene
3       0       Document 2223    0    3.9308748    Lucene
3       0       Document 4914    0    3.9042306    Lucene
3       0       Document 3420    0    3.9015765    Lucene
3       0       Document  421    0    3.9003148    Lucene
3       0       Document 2230    0    3.8825386    Lucene
3       0       Document 1411    0    3.8794942    Lucene
3       0       Document 4699    0    3.8675027    Lucene
3       0       Document 4373    0    3.8644652    Lucene
3       0       Document 3818    0    3.846844    Lucene
3       0       Document 2767    0    3.8377194    Lucene
3       0       Document 5780    0    3.8346605    Lucene
3       0       Document 3929    0    3.8307781    Lucene
3       0       Document  265    0    3.830561    Lucene
3       0       Document  734    0    3.8273413    Lucene
3       0       Document  425    0    3.8207264    Lucene
3       0       Document 4776    0    3.8197105    Lucene
3       0       Document 2246    0    3.8131597    Lucene
3       0       Document 2936    0    3.8028893    Lucene
3       0       Document 2314    0    3.8028295    Lucene
3       0       Document 1721    0    3.7940505    Lucene
3       0       Document 3926    0    3.7735407    Lucene
3       0       Document 3958    0    3.7693412    Lucene
3       0       Document 3901    0    3.7478182    Lucene
3       0       Document 5904    0    3.7406955    Lucene
3       0       Document 5367    0    3.740547    Lucene
3       0       Document 3788    0    3.7308881    Lucene
3       0       Document 3779    0    3.7213044    Lucene
3       0       Document 1179    0    3.715471    Lucene
3       0       Document  738    0    3.7147427    Lucene
3       0       Document 2817    0    3.69782    Lucene
3       0       Document 5784    0    3.683633    Lucene
3       0       Document 4280    0    3.6742716    Lucene
3       0       Document 2233    0    3.6621425    Lucene
3       0       Document 2263    0    3.637486    Lucene
4       0       Document 3572    0    8.031185    Lucene
4       0       Document 1431    0    1.9550813    Lucene
4       0       Document 2454    0    1.6529144    Lucene
6       0       Document 2090    0    13.391704    Lucene
6       0       Document 5627    0    11.119515    Lucene
6       0       Document 2722    0    10.543911    Lucene
6       0       Document 5626    0    9.907185    Lucene
6       0       Document 3103    0    8.513076    Lucene
6       0       Document 2886    0    8.387644    Lucene
6       0       Document 3610    0    8.29349    Lucene
6       0       Document  566    0    7.8444304    Lucene
6       0       Document 5725    0    7.68513    Lucene
6       0       Document 2593    0    7.2295446    Lucene
6       0       Document 2616    0    7.2086525    Lucene
6       0       Document  496    0    7.0229244    Lucene
6       0       Document   95    0    6.9398727    Lucene
6       0       Document  113    0    6.729782    Lucene
6       0       Document 1696    0    6.3186674    Lucene
6       0       Document 5628    0    6.2809973    Lucene
6       0       Document 2626    0    6.2419643    Lucene
6       0       Document 5830    0    6.228611    Lucene
6       0       Document 4102    0    6.2010255    Lucene
6       0       Document 5038    0    6.1552763    Lucene
6       0       Document 2600    0    6.0387993    Lucene
6       0       Document 2618    0    6.001154    Lucene
6       0       Document  124    0    5.9472356    Lucene
6       0       Document  163    0    5.875868    Lucene
6       0       Document 2219    0    5.8208795    Lucene
6       0       Document 4141    0    5.782373    Lucene
6       0       Document 3080    0    5.6924577    Lucene
6       0       Document 4155    0    5.55229    Lucene
6       0       Document 2012    0    5.508099    Lucene
6       0       Document 5033    0    5.4939513    Lucene
6       0       Document 4143    0    5.479083    Lucene
6       0       Document 5572    0    5.4730983    Lucene
6       0       Document 2336    0    5.410512    Lucene
6       0       Document 4693    0    5.345128    Lucene
6       0       Document 2092    0    5.2309184    Lucene
6       0       Document 1160    0    5.2031317    Lucene
6       0       Document  987    0    5.1829786    Lucene
6       0       Document   10    0  
